Date;Victim Sex;Total Shootings
05-Aug-08;M;4
06-Aug-08;M;7
07-Aug-08;M;4
08-Aug-08;F;2
08-Aug-08;M;3
09-Aug-08;F;3
09-Aug-08;M;8
10-Aug-08;F;1
10-Aug-08;M;9
11-Aug-08;M;3
12-Aug-08;M;5
13-Aug-08;F;1
13-Aug-08;M;1
14-Aug-08;M;6
15-Aug-08;M;4
16-Aug-08;F;1
16-Aug-08;M;9
17-Aug-08;M;8
18-Aug-08;M;6
19-Aug-08;F;1
19-Aug-08;M;2
20-Aug-08;M;5
21-Aug-08;F;1
21-Aug-08;M;9
22-Aug-08;F;1
22-Aug-08;M;6
23-Aug-08;F;1
23-Aug-08;M;14
24-Aug-08;F;5
24-Aug-08;M;6
25-Aug-08;M;4
26-Aug-08;M;9
27-Aug-08;M;2
28-Aug-08;M;6
29-Aug-08;F;1
29-Aug-08;M;2
30-Aug-08;F;3
30-Aug-08;M;6
31-Aug-08;M;13
01-Sep-08;M;16
02-Sep-08;M;4
03-Sep-08;M;5
04-Sep-08;M;2
05-Sep-08;M;10
06-Sep-08;F;2
06-Sep-08;M;3
07-Sep-08;F;1
07-Sep-08;M;5
08-Sep-08;F;1
08-Sep-08;M;2
09-Sep-08;M;9
10-Sep-08;M;2
11-Sep-08;M;4
12-Sep-08;M;2
13-Sep-08;F;1
13-Sep-08;M;8
14-Sep-08;F;3
14-Sep-08;M;11
15-Sep-08;M;2
16-Sep-08;F;2
16-Sep-08;M;4
18-Sep-08;M;4
19-Sep-08;F;1
19-Sep-08;M;2
20-Sep-08;F;1
20-Sep-08;M;5
21-Sep-08;F;1
21-Sep-08;M;14
22-Sep-08;M;7
23-Sep-08;F;1
23-Sep-08;M;4
24-Sep-08;M;5
25-Sep-08;M;1
26-Sep-08;M;5
27-Sep-08;M;10
28-Sep-08;M;17
29-Sep-08;F;1
29-Sep-08;M;8
30-Sep-08;F;1
30-Sep-08;M;10
01-Oct-08;F;1
01-Oct-08;M;3
02-Oct-08;F;1
02-Oct-08;M;1
03-Oct-08;M;4
04-Oct-08;M;12
05-Oct-08;F;1
05-Oct-08;M;6
06-Oct-08;F;1
06-Oct-08;M;4
07-Oct-08;M;2
08-Oct-08;M;3
09-Oct-08;M;5
10-Oct-08;M;6
11-Oct-08;M;5
12-Oct-08;F;1
12-Oct-08;M;7
13-Oct-08;M;6
14-Oct-08;M;3
15-Oct-08;F;1
15-Oct-08;M;5
16-Oct-08;M;1
17-Oct-08;F;1
17-Oct-08;M;4
18-Oct-08;M;8
19-Oct-08;M;4
20-Oct-08;F;4
20-Oct-08;M;5
21-Oct-08;M;5
22-Oct-08;M;3
23-Oct-08;M;4
24-Oct-08;M;3
25-Oct-08;M;7
26-Oct-08;F;1
26-Oct-08;M;2
27-Oct-08;F;2
27-Oct-08;M;14
29-Oct-08;M;2
30-Oct-08;M;1
31-Oct-08;M;4
01-Nov-08;F;1
01-Nov-08;M;5
02-Nov-08;M;2
03-Nov-08;M;2
04-Nov-08;M;5
05-Nov-08;F;2
05-Nov-08;M;3
06-Nov-08;M;2
07-Nov-08;M;5
08-Nov-08;M;5
09-Nov-08;M;4
10-Nov-08;M;3
11-Nov-08;M;7
12-Nov-08;M;4
13-Nov-08;M;4
14-Nov-08;M;4
15-Nov-08;M;5
16-Nov-08;F;2
16-Nov-08;M;4
17-Nov-08;F;1
17-Nov-08;M;10
18-Nov-08;M;5
19-Nov-08;F;1
19-Nov-08;M;5
20-Nov-08;M;2
21-Nov-08;M;2
22-Nov-08;M;10
23-Nov-08;M;4
24-Nov-08;M;2
25-Nov-08;M;1
26-Nov-08;M;2
27-Nov-08;M;5
28-Nov-08;M;1
29-Nov-08;M;3
30-Nov-08;F;1
30-Nov-08;M;6
01-Dec-08;F;2
01-Dec-08;M;6
02-Dec-08;M;8
03-Dec-08;M;2
05-Dec-08;M;1
06-Dec-08;M;6
07-Dec-08;M;3
08-Dec-08;F;1
08-Dec-08;M;1
09-Dec-08;F;1
10-Dec-08;M;3
11-Dec-08;M;4
12-Dec-08;M;2
13-Dec-08;F;1
13-Dec-08;M;7
14-Dec-08;M;9
15-Dec-08;M;3
16-Dec-08;F;1
16-Dec-08;M;4
17-Dec-08;M;9
18-Dec-08;M;2
19-Dec-08;M;3
20-Dec-08;M;8
21-Dec-08;M;4
22-Dec-08;M;3
23-Dec-08;M;2
24-Dec-08;F;1
24-Dec-08;M;4
25-Dec-08;F;2
25-Dec-08;M;5
26-Dec-08;F;2
26-Dec-08;M;13
27-Dec-08;F;1
27-Dec-08;M;8
28-Dec-08;M;12
29-Dec-08;F;1
29-Dec-08;M;6
30-Dec-08;M;7
31-Dec-08;M;6
01-Jan-09;M;7
02-Jan-09;F;1
02-Jan-09;M;2
03-Jan-09;M;5
04-Jan-09;M;3
05-Jan-09;M;2
06-Jan-09;M;1
08-Jan-09;M;2
09-Jan-09;M;1
10-Jan-09;F;1
10-Jan-09;M;7
11-Jan-09;M;6
12-Jan-09;F;1
12-Jan-09;M;1
13-Jan-09;M;6
15-Jan-09;F;1
15-Jan-09;M;2
16-Jan-09;M;3
17-Jan-09;M;5
18-Jan-09;F;4
18-Jan-09;M;13
19-Jan-09;M;2
20-Jan-09;M;3
21-Jan-09;M;2
22-Jan-09;M;1
23-Jan-09;M;5
24-Jan-09;M;8
25-Jan-09;M;2
26-Jan-09;F;1
26-Jan-09;M;1
28-Jan-09;M;3
31-Jan-09;M;3
01-Feb-09;M;6
02-Feb-09;M;3
03-Feb-09;M;2
04-Feb-09;M;2
05-Feb-09;M;1
06-Feb-09;M;1
07-Feb-09;F;1
07-Feb-09;M;3
08-Feb-09;M;12
09-Feb-09;M;8
10-Feb-09;M;3
11-Feb-09;F;1
11-Feb-09;M;2
12-Feb-09;M;2
13-Feb-09;M;2
14-Feb-09;F;1
14-Feb-09;M;5
15-Feb-09;M;1
16-Feb-09;M;7
17-Feb-09;M;6
18-Feb-09;F;2
18-Feb-09;M;3
19-Feb-09;M;2
20-Feb-09;M;1
22-Feb-09;M;6
23-Feb-09;M;4
24-Feb-09;M;2
25-Feb-09;F;5
26-Feb-09;F;2
26-Feb-09;M;4
27-Feb-09;F;1
27-Feb-09;M;8
28-Feb-09;M;4
01-Mar-09;F;1
01-Mar-09;M;2
02-Mar-09;M;2
03-Mar-09;F;1
03-Mar-09;M;1
06-Mar-09;M;4
07-Mar-09;M;3
08-Mar-09;F;4
08-Mar-09;M;1
09-Mar-09;M;1
10-Mar-09;F;1
10-Mar-09;M;2
11-Mar-09;M;3
12-Mar-09;M;1
13-Mar-09;M;4
14-Mar-09;M;3
15-Mar-09;F;2
15-Mar-09;M;5
16-Mar-09;F;1
17-Mar-09;M;3
18-Mar-09;M;3
19-Mar-09;M;2
20-Mar-09;M;3
21-Mar-09;M;3
22-Mar-09;F;4
22-Mar-09;M;4
23-Mar-09;M;1
24-Mar-09;M;2
25-Mar-09;M;7
27-Mar-09;M;6
28-Mar-09;F;1
28-Mar-09;M;5
29-Mar-09;F;1
29-Mar-09;M;6
30-Mar-09;M;6
31-Mar-09;F;1
31-Mar-09;M;4
01-Apr-09;M;3
02-Apr-09;F;1
02-Apr-09;M;8
03-Apr-09;M;2
04-Apr-09;F;2
04-Apr-09;M;5
05-Apr-09;M;7
07-Apr-09;F;1
07-Apr-09;M;1
08-Apr-09;M;5
09-Apr-09;M;2
10-Apr-09;M;2
11-Apr-09;M;4
12-Apr-09;M;3
13-Apr-09;M;3
14-Apr-09;M;1
15-Apr-09;M;2
16-Apr-09;M;4
17-Apr-09;F;1
17-Apr-09;M;5
18-Apr-09;F;1
18-Apr-09;M;4
19-Apr-09;M;5
20-Apr-09;F;1
20-Apr-09;M;5
21-Apr-09;M;3
22-Apr-09;M;1
23-Apr-09;F;1
23-Apr-09;M;3
24-Apr-09;M;4
25-Apr-09;M;7
26-Apr-09;F;2
26-Apr-09;M;19
27-Apr-09;F;1
27-Apr-09;M;9
28-Apr-09;M;2
29-Apr-09;M;4
30-Apr-09;M;2
01-May-09;M;4
02-May-09;F;2
02-May-09;M;11
03-May-09;M;5
04-May-09;M;1
05-May-09;M;1
06-May-09;M;2
08-May-09;M;8
09-May-09;M;2
10-May-09;F;2
10-May-09;M;12
11-May-09;F;1
11-May-09;M;2
12-May-09;M;1
13-May-09;M;6
14-May-09;M;4
15-May-09;M;5
16-May-09;M;12
17-May-09;M;8
18-May-09;M;1
19-May-09;M;3
20-May-09;M;3
21-May-09;M;5
22-May-09;M;4
23-May-09;M;4
24-May-09;F;2
24-May-09;M;10
25-May-09;M;8
26-May-09;F;1
26-May-09;M;2
27-May-09;M;3
28-May-09;F;2
28-May-09;M;9
29-May-09;F;3
29-May-09;M;2
30-May-09;F;2
30-May-09;M;10
31-May-09;F;2
31-May-09;M;7
01-Jun-09;M;6
02-Jun-09;M;5
04-Jun-09;M;1
05-Jun-09;M;1
06-Jun-09;F;1
06-Jun-09;M;4
07-Jun-09;F;1
07-Jun-09;M;9
08-Jun-09;M;7
09-Jun-09;M;3
10-Jun-09;M;3
11-Jun-09;M;3
12-Jun-09;M;6
13-Jun-09;F;1
13-Jun-09;M;15
14-Jun-09;M;10
15-Jun-09;M;10
16-Jun-09;M;3
17-Jun-09;M;3
18-Jun-09;M;2
19-Jun-09;M;9
20-Jun-09;M;11
21-Jun-09;M;8
22-Jun-09;F;1
22-Jun-09;M;4
23-Jun-09;M;6
24-Jun-09;M;2
25-Jun-09;M;6
26-Jun-09;F;1
26-Jun-09;M;9
27-Jun-09;M;4
28-Jun-09;F;1
28-Jun-09;M;13
29-Jun-09;M;7
30-Jun-09;M;6
01-Jul-09;F;2
01-Jul-09;M;3
02-Jul-09;M;4
03-Jul-09;M;5
04-Jul-09;F;2
04-Jul-09;M;7
05-Jul-09;F;1
05-Jul-09;M;7
06-Jul-09;M;9
07-Jul-09;F;1
07-Jul-09;M;6
08-Jul-09;M;5
09-Jul-09;M;1
10-Jul-09;F;4
10-Jul-09;M;4
11-Jul-09;F;1
11-Jul-09;M;10
12-Jul-09;M;17
13-Jul-09;M;3
14-Jul-09;F;1
14-Jul-09;M;2
15-Jul-09;M;1
16-Jul-09;F;1
16-Jul-09;M;5
17-Jul-09;M;7
18-Jul-09;M;10
19-Jul-09;F;1
19-Jul-09;M;13
20-Jul-09;M;5
21-Jul-09;M;5
22-Jul-09;M;3
23-Jul-09;F;1
23-Jul-09;M;5
24-Jul-09;M;4
25-Jul-09;M;14
26-Jul-09;F;2
26-Jul-09;M;6
27-Jul-09;F;2
27-Jul-09;M;2
28-Jul-09;F;1
28-Jul-09;M;8
29-Jul-09;F;1
29-Jul-09;M;4
30-Jul-09;F;2
30-Jul-09;M;5
31-Jul-09;F;1
31-Jul-09;M;7
01-Aug-09;M;12
02-Aug-09;F;1
02-Aug-09;M;14
03-Aug-09;M;2
04-Aug-09;F;1
04-Aug-09;M;5
05-Aug-09;M;4
06-Aug-09;M;2
07-Aug-09;M;12
08-Aug-09;F;1
08-Aug-09;M;7
09-Aug-09;F;1
09-Aug-09;M;13
10-Aug-09;M;5
11-Aug-09;F;1
11-Aug-09;M;1
12-Aug-09;M;4
13-Aug-09;M;3
14-Aug-09;M;4
15-Aug-09;M;14
16-Aug-09;F;4
16-Aug-09;M;13
17-Aug-09;M;3
18-Aug-09;M;7
19-Aug-09;M;5
20-Aug-09;M;4
21-Aug-09;M;3
22-Aug-09;F;1
22-Aug-09;M;7
23-Aug-09;M;16
24-Aug-09;M;7
25-Aug-09;F;1
25-Aug-09;M;4
26-Aug-09;M;1
27-Aug-09;F;1
27-Aug-09;M;3
28-Aug-09;M;2
29-Aug-09;M;5
30-Aug-09;M;7
31-Aug-09;M;9
01-Sep-09;F;1
01-Sep-09;M;1
02-Sep-09;M;1
03-Sep-09;F;1
03-Sep-09;M;2
04-Sep-09;M;1
05-Sep-09;F;3
05-Sep-09;M;12
06-Sep-09;M;8
07-Sep-09;F;1
07-Sep-09;M;9
08-Sep-09;M;1
09-Sep-09;M;5
10-Sep-09;M;9
11-Sep-09;M;3
12-Sep-09;F;2
12-Sep-09;M;1
13-Sep-09;M;2
14-Sep-09;M;4
15-Sep-09;F;1
15-Sep-09;M;1
16-Sep-09;F;1
16-Sep-09;M;7
18-Sep-09;M;2
19-Sep-09;F;1
19-Sep-09;M;2
20-Sep-09;F;2
20-Sep-09;M;11
21-Sep-09;M;9
22-Sep-09;F;7
22-Sep-09;M;8
23-Sep-09;M;5
24-Sep-09;F;1
24-Sep-09;M;4
25-Sep-09;F;2
25-Sep-09;M;1
26-Sep-09;M;15
27-Sep-09;M;11
28-Sep-09;F;1
28-Sep-09;M;4
29-Sep-09;M;2
30-Sep-09;M;2
01-Oct-09;M;4
02-Oct-09;M;13
03-Oct-09;M;1
04-Oct-09;M;2
05-Oct-09;F;1
05-Oct-09;M;8
06-Oct-09;M;2
08-Oct-09;M;4
09-Oct-09;M;10
10-Oct-09;M;5
11-Oct-09;M;5
12-Oct-09;F;1
12-Oct-09;M;7
13-Oct-09;M;4
14-Oct-09;M;2
15-Oct-09;M;3
16-Oct-09;M;3
17-Oct-09;M;6
18-Oct-09;M;4
19-Oct-09;F;4
19-Oct-09;M;6
20-Oct-09;F;2
20-Oct-09;M;5
21-Oct-09;M;1
22-Oct-09;M;5
23-Oct-09;M;2
24-Oct-09;F;1
24-Oct-09;M;5
25-Oct-09;M;11
26-Oct-09;M;2
27-Oct-09;M;2
28-Oct-09;F;1
28-Oct-09;M;2
29-Oct-09;M;2
30-Oct-09;M;5
31-Oct-09;F;1
31-Oct-09;M;1
01-Nov-09;F;2
01-Nov-09;M;10
02-Nov-09;M;4
03-Nov-09;F;2
03-Nov-09;M;7
04-Nov-09;F;1
04-Nov-09;M;1
05-Nov-09;M;3
07-Nov-09;M;7
07-Nov-09;U;1
08-Nov-09;M;3
08-Nov-09;U;1
09-Nov-09;M;3
10-Nov-09;M;4
11-Nov-09;M;2
12-Nov-09;M;1
13-Nov-09;F;1
13-Nov-09;M;4
14-Nov-09;F;1
14-Nov-09;M;7
15-Nov-09;F;2
15-Nov-09;M;6
16-Nov-09;F;5
16-Nov-09;M;10
17-Nov-09;M;5
18-Nov-09;F;1
18-Nov-09;M;1
19-Nov-09;M;2
20-Nov-09;M;4
21-Nov-09;F;1
21-Nov-09;M;2
22-Nov-09;M;5
23-Nov-09;M;4
24-Nov-09;M;7
25-Nov-09;M;7
26-Nov-09;F;2
26-Nov-09;M;8
27-Nov-09;M;7
28-Nov-09;F;1
28-Nov-09;M;5
29-Nov-09;F;3
29-Nov-09;M;6
30-Nov-09;M;2
01-Dec-09;M;3
02-Dec-09;M;3
04-Dec-09;M;1
05-Dec-09;M;4
06-Dec-09;F;2
06-Dec-09;M;8
07-Dec-09;F;1
07-Dec-09;M;8
08-Dec-09;M;1
09-Dec-09;M;3
10-Dec-09;M;2
11-Dec-09;M;2
12-Dec-09;M;3
13-Dec-09;F;1
13-Dec-09;M;3
15-Dec-09;M;3
16-Dec-09;M;1
17-Dec-09;F;4
17-Dec-09;M;5
18-Dec-09;F;1
18-Dec-09;M;4
19-Dec-09;M;4
20-Dec-09;M;6
21-Dec-09;F;1
21-Dec-09;M;5
22-Dec-09;M;4
23-Dec-09;F;1
24-Dec-09;M;3
25-Dec-09;M;7
26-Dec-09;F;2
26-Dec-09;M;4
27-Dec-09;F;1
27-Dec-09;M;4
28-Dec-09;M;4
29-Dec-09;M;5
30-Dec-09;M;1
31-Dec-09;F;1
31-Dec-09;M;8
01-Jan-10;M;8
02-Jan-10;M;2
03-Jan-10;M;2
04-Jan-10;M;1
05-Jan-10;M;1
06-Jan-10;M;1
07-Jan-10;M;1
08-Jan-10;M;4
09-Jan-10;F;1
09-Jan-10;M;4
10-Jan-10;M;4
11-Jan-10;M;2
13-Jan-10;F;1
14-Jan-10;M;3
15-Jan-10;F;1
15-Jan-10;M;4
16-Jan-10;M;2
17-Jan-10;M;3
18-Jan-10;M;7
19-Jan-10;M;1
20-Jan-10;M;2
21-Jan-10;M;1
22-Jan-10;M;5
23-Jan-10;F;1
23-Jan-10;M;6
24-Jan-10;F;1
24-Jan-10;M;6
25-Jan-10;M;3
27-Jan-10;M;1
28-Jan-10;M;1
29-Jan-10;M;3
30-Jan-10;F;2
30-Jan-10;M;6
31-Jan-10;F;1
31-Jan-10;M;5
01-Feb-10;M;6
02-Feb-10;M;2
04-Feb-10;F;1
04-Feb-10;M;2
05-Feb-10;M;3
06-Feb-10;M;5
07-Feb-10;M;3
08-Feb-10;F;1
08-Feb-10;M;5
09-Feb-10;M;2
11-Feb-10;M;3
12-Feb-10;M;11
13-Feb-10;M;1
14-Feb-10;M;10
15-Feb-10;M;1
16-Feb-10;M;6
17-Feb-10;M;1
19-Feb-10;M;3
20-Feb-10;M;4
21-Feb-10;M;16
22-Feb-10;F;6
22-Feb-10;M;10
23-Feb-10;M;1
24-Feb-10;M;1
26-Feb-10;F;1
26-Feb-10;M;7
27-Feb-10;F;1
27-Feb-10;M;6
28-Feb-10;M;4
01-Mar-10;M;1
03-Mar-10;M;3
04-Mar-10;M;2
05-Mar-10;M;3
06-Mar-10;M;6
07-Mar-10;M;3
08-Mar-10;F;3
08-Mar-10;M;3
09-Mar-10;M;3
10-Mar-10;M;2
11-Mar-10;M;6
12-Mar-10;M;2
13-Mar-10;M;6
14-Mar-10;M;4
15-Mar-10;M;4
16-Mar-10;M;4
17-Mar-10;M;7
18-Mar-10;F;1
18-Mar-10;M;9
19-Mar-10;F;2
19-Mar-10;M;6
20-Mar-10;M;9
21-Mar-10;M;4
22-Mar-10;M;4
23-Mar-10;F;1
23-Mar-10;M;1
25-Mar-10;M;10
26-Mar-10;M;3
27-Mar-10;M;8
28-Mar-10;M;4
29-Mar-10;M;2
30-Mar-10;M;2
31-Mar-10;M;4
01-Apr-10;M;2
02-Apr-10;F;2
02-Apr-10;M;5
03-Apr-10;F;1
03-Apr-10;M;7
04-Apr-10;M;8
05-Apr-10;F;4
05-Apr-10;M;6
06-Apr-10;M;10
07-Apr-10;M;5
08-Apr-10;M;1
09-Apr-10;M;8
10-Apr-10;F;1
10-Apr-10;M;1
11-Apr-10;F;3
11-Apr-10;M;8
12-Apr-10;F;8
12-Apr-10;M;12
13-Apr-10;M;5
14-Apr-10;M;1
15-Apr-10;M;8
16-Apr-10;M;7
17-Apr-10;M;2
18-Apr-10;M;4
19-Apr-10;M;5
20-Apr-10;M;2
21-Apr-10;M;4
22-Apr-10;M;1
23-Apr-10;F;1
23-Apr-10;M;1
24-Apr-10;M;7
25-Apr-10;M;2
26-Apr-10;M;5
27-Apr-10;M;2
28-Apr-10;M;5
29-Apr-10;M;7
30-Apr-10;F;1
30-Apr-10;M;5
01-May-10;M;5
02-May-10;F;2
02-May-10;M;4
03-May-10;F;2
03-May-10;M;2
04-May-10;M;1
05-May-10;M;3
06-May-10;M;4
07-May-10;M;3
08-May-10;M;7
09-May-10;F;8
09-May-10;M;6
10-May-10;M;2
11-May-10;M;4
12-May-10;F;1
12-May-10;M;1
13-May-10;M;2
15-May-10;M;12
16-May-10;F;1
16-May-10;M;6
17-May-10;F;1
17-May-10;M;6
18-May-10;M;2
19-May-10;M;3
20-May-10;M;5
21-May-10;M;4
22-May-10;M;10
23-May-10;F;4
23-May-10;M;14
24-May-10;M;1
25-May-10;M;4
26-May-10;F;1
26-May-10;M;3
27-May-10;F;1
27-May-10;M;5
28-May-10;M;4
29-May-10;F;4
29-May-10;M;1
30-May-10;F;1
30-May-10;M;6
31-May-10;M;10
01-Jun-10;F;2
01-Jun-10;M;6
02-Jun-10;F;2
02-Jun-10;M;6
03-Jun-10;M;3
04-Jun-10;M;5
05-Jun-10;F;3
05-Jun-10;M;8
06-Jun-10;M;16
07-Jun-10;M;2
08-Jun-10;M;3
09-Jun-10;F;3
09-Jun-10;M;6
10-Jun-10;F;1
10-Jun-10;M;1
11-Jun-10;M;3
12-Jun-10;M;6
13-Jun-10;F;2
13-Jun-10;M;10
14-Jun-10;F;1
14-Jun-10;M;4
15-Jun-10;M;2
16-Jun-10;F;1
16-Jun-10;M;3
17-Jun-10;M;3
18-Jun-10;M;4
19-Jun-10;M;8
20-Jun-10;F;2
20-Jun-10;M;17
21-Jun-10;F;2
21-Jun-10;M;9
22-Jun-10;M;3
23-Jun-10;M;1
24-Jun-10;F;1
24-Jun-10;M;3
25-Jun-10;F;1
25-Jun-10;M;8
26-Jun-10;F;1
26-Jun-10;M;15
27-Jun-10;F;1
27-Jun-10;M;12
28-Jun-10;M;7
29-Jun-10;M;6
30-Jun-10;F;2
30-Jun-10;M;14
01-Jul-10;M;1
02-Jul-10;M;7
03-Jul-10;F;1
03-Jul-10;M;5
04-Jul-10;F;2
04-Jul-10;M;14
05-Jul-10;M;11
06-Jul-10;M;2
07-Jul-10;M;5
08-Jul-10;M;7
09-Jul-10;F;1
09-Jul-10;M;2
10-Jul-10;M;4
11-Jul-10;F;3
11-Jul-10;M;20
12-Jul-10;M;2
13-Jul-10;M;2
14-Jul-10;M;8
15-Jul-10;F;2
15-Jul-10;M;9
16-Jul-10;F;1
16-Jul-10;M;3
17-Jul-10;M;8
18-Jul-10;F;1
18-Jul-10;M;14
19-Jul-10;F;1
19-Jul-10;M;11
20-Jul-10;M;4
21-Jul-10;M;4
22-Jul-10;M;4
23-Jul-10;F;1
23-Jul-10;M;4
24-Jul-10;M;4
25-Jul-10;F;2
25-Jul-10;M;5
26-Jul-10;M;6
27-Jul-10;M;2
28-Jul-10;M;6
29-Jul-10;F;1
29-Jul-10;M;5
30-Jul-10;M;2
31-Jul-10;F;1
31-Jul-10;M;13
01-Aug-10;M;12
02-Aug-10;M;8
03-Aug-10;M;3
04-Aug-10;M;4
05-Aug-10;M;3
06-Aug-10;M;4
07-Aug-10;F;7
07-Aug-10;M;16
08-Aug-10;F;1
08-Aug-10;M;10
09-Aug-10;F;1
09-Aug-10;M;6
10-Aug-10;M;9
11-Aug-10;M;5
12-Aug-10;M;2
13-Aug-10;M;2
14-Aug-10;M;10
15-Aug-10;F;3
15-Aug-10;M;11
16-Aug-10;M;5
17-Aug-10;M;2
18-Aug-10;M;1
19-Aug-10;M;4
20-Aug-10;F;1
20-Aug-10;M;2
21-Aug-10;F;1
21-Aug-10;M;8
22-Aug-10;M;11
23-Aug-10;M;5
24-Aug-10;M;2
25-Aug-10;M;5
26-Aug-10;M;6
27-Aug-10;M;2
28-Aug-10;M;7
29-Aug-10;F;1
29-Aug-10;M;12
30-Aug-10;F;3
30-Aug-10;M;3
31-Aug-10;M;5
01-Sep-10;M;9
02-Sep-10;M;6
03-Sep-10;F;1
03-Sep-10;M;13
04-Sep-10;F;1
04-Sep-10;M;2
05-Sep-10;M;3
06-Sep-10;F;3
06-Sep-10;M;6
07-Sep-10;F;1
07-Sep-10;M;1
08-Sep-10;F;1
08-Sep-10;M;2
09-Sep-10;M;8
10-Sep-10;F;1
10-Sep-10;M;4
11-Sep-10;F;2
11-Sep-10;M;11
12-Sep-10;M;7
13-Sep-10;M;1
14-Sep-10;M;3
15-Sep-10;M;1
16-Sep-10;M;2
17-Sep-10;M;4
18-Sep-10;F;1
18-Sep-10;M;9
19-Sep-10;F;1
19-Sep-10;M;8
20-Sep-10;M;3
21-Sep-10;M;5
22-Sep-10;M;6
23-Sep-10;F;1
23-Sep-10;M;6
24-Sep-10;M;16
25-Sep-10;M;7
26-Sep-10;M;9
27-Sep-10;F;1
28-Sep-10;M;5
29-Sep-10;M;7
30-Sep-10;F;3
30-Sep-10;M;1
01-Oct-10;M;4
02-Oct-10;M;3
03-Oct-10;F;2
03-Oct-10;M;6
04-Oct-10;F;3
04-Oct-10;M;6
05-Oct-10;M;5
06-Oct-10;F;1
06-Oct-10;M;3
07-Oct-10;M;6
08-Oct-10;M;1
09-Oct-10;M;8
10-Oct-10;F;1
10-Oct-10;M;4
11-Oct-10;M;2
12-Oct-10;M;4
13-Oct-10;M;2
14-Oct-10;M;2
15-Oct-10;M;3
16-Oct-10;M;3
17-Oct-10;M;2
18-Oct-10;M;3
20-Oct-10;F;1
20-Oct-10;M;4
21-Oct-10;F;1
22-Oct-10;M;3
23-Oct-10;F;2
23-Oct-10;M;8
24-Oct-10;M;4
25-Oct-10;F;1
25-Oct-10;M;2
26-Oct-10;F;2
26-Oct-10;M;5
27-Oct-10;M;5
28-Oct-10;F;1
28-Oct-10;M;11
29-Oct-10;M;5
30-Oct-10;F;2
30-Oct-10;M;5
31-Oct-10;M;8
01-Nov-10;M;5
02-Nov-10;F;1
02-Nov-10;M;1
04-Nov-10;F;1
04-Nov-10;M;1
05-Nov-10;M;2
06-Nov-10;M;9
07-Nov-10;M;6
08-Nov-10;M;7
09-Nov-10;M;2
10-Nov-10;M;2
11-Nov-10;M;2
12-Nov-10;F;1
12-Nov-10;M;3
13-Nov-10;M;13
14-Nov-10;F;1
14-Nov-10;M;11
15-Nov-10;M;1
16-Nov-10;M;2
19-Nov-10;M;10
20-Nov-10;M;8
21-Nov-10;M;9
22-Nov-10;M;7
23-Nov-10;M;2
24-Nov-10;M;2
25-Nov-10;F;3
25-Nov-10;M;1
26-Nov-10;M;8
27-Nov-10;M;3
28-Nov-10;M;4
29-Nov-10;M;8
30-Nov-10;M;4
01-Dec-10;M;2
03-Dec-10;M;3
04-Dec-10;M;5
05-Dec-10;M;6
06-Dec-10;M;4
07-Dec-10;F;1
07-Dec-10;M;5
09-Dec-10;M;1
10-Dec-10;F;1
10-Dec-10;M;3
11-Dec-10;M;7
12-Dec-10;M;6
13-Dec-10;M;6
14-Dec-10;M;1
15-Dec-10;M;2
16-Dec-10;F;1
16-Dec-10;M;2
17-Dec-10;M;2
18-Dec-10;F;2
18-Dec-10;M;8
19-Dec-10;M;2
20-Dec-10;M;2
21-Dec-10;M;3
22-Dec-10;M;3
23-Dec-10;M;3
24-Dec-10;M;3
25-Dec-10;F;1
25-Dec-10;M;3
26-Dec-10;F;1
26-Dec-10;M;13
27-Dec-10;M;3
28-Dec-10;M;6
29-Dec-10;M;3
30-Dec-10;M;4
31-Dec-10;M;10
01-Jan-11;F;1
01-Jan-11;M;11
02-Jan-11;M;4
03-Jan-11;M;1
05-Jan-11;M;5
06-Jan-11;M;5
08-Jan-11;M;1
09-Jan-11;F;2
09-Jan-11;M;2
10-Jan-11;M;4
11-Jan-11;M;2
12-Jan-11;M;1
13-Jan-11;M;4
14-Jan-11;F;1
14-Jan-11;M;6
15-Jan-11;M;4
16-Jan-11;F;1
16-Jan-11;M;8
17-Jan-11;M;3
18-Jan-11;M;1
19-Jan-11;M;1
20-Jan-11;M;1
21-Jan-11;M;4
22-Jan-11;M;4
23-Jan-11;M;4
24-Jan-11;M;2
25-Jan-11;M;1
27-Jan-11;M;2
28-Jan-11;M;1
29-Jan-11;M;7
30-Jan-11;M;2
31-Jan-11;M;6
01-Feb-11;M;1
02-Feb-11;M;9
03-Feb-11;M;2
04-Feb-11;F;1
04-Feb-11;M;3
05-Feb-11;M;4
06-Feb-11;F;1
06-Feb-11;M;8
07-Feb-11;F;1
07-Feb-11;M;3
08-Feb-11;M;1
09-Feb-11;M;2
10-Feb-11;F;1
10-Feb-11;M;2
11-Feb-11;M;4
12-Feb-11;M;4
13-Feb-11;M;4
14-Feb-11;F;1
14-Feb-11;M;3
15-Feb-11;M;1
16-Feb-11;M;3
17-Feb-11;M;2
18-Feb-11;M;2
20-Feb-11;M;12
21-Feb-11;M;2
24-Feb-11;M;2
25-Feb-11;M;5
26-Feb-11;M;5
27-Feb-11;F;1
27-Feb-11;M;6
28-Feb-11;M;2
01-Mar-11;M;3
02-Mar-11;M;1
04-Mar-11;M;2
05-Mar-11;M;6
06-Mar-11;M;3
07-Mar-11;M;1
08-Mar-11;M;2
09-Mar-11;M;1
