Date;Victim Sex;Total Shootings
06-Aug-06;M;6
07-Aug-06;M;19
08-Aug-06;F;1
08-Aug-06;M;7
09-Aug-06;F;1
09-Aug-06;M;5
10-Aug-06;M;2
11-Aug-06;F;1
11-Aug-06;M;10
12-Aug-06;F;4
12-Aug-06;M;6
13-Aug-06;F;2
13-Aug-06;M;12
14-Aug-06;F;1
14-Aug-06;M;6
15-Aug-06;M;3
16-Aug-06;F;1
16-Aug-06;M;7
17-Aug-06;M;6
18-Aug-06;M;9
19-Aug-06;F;2
19-Aug-06;M;9
20-Aug-06;F;1
20-Aug-06;M;17
21-Aug-06;M;7
22-Aug-06;M;6
23-Aug-06;M;2
24-Aug-06;M;2
25-Aug-06;M;10
26-Aug-06;F;3
26-Aug-06;M;5
27-Aug-06;F;2
27-Aug-06;M;11
28-Aug-06;M;4
29-Aug-06;M;3
30-Aug-06;M;5
31-Aug-06;F;2
31-Aug-06;M;12
01-Sep-06;M;1
02-Sep-06;F;2
02-Sep-06;M;7
03-Sep-06;M;4
04-Sep-06;F;7
04-Sep-06;M;18
05-Sep-06;M;5
06-Sep-06;F;1
07-Sep-06;M;5
08-Sep-06;F;1
08-Sep-06;M;8
09-Sep-06;F;1
09-Sep-06;M;6
10-Sep-06;F;1
10-Sep-06;M;6
11-Sep-06;F;1
11-Sep-06;M;5
12-Sep-06;M;1
13-Sep-06;F;1
13-Sep-06;M;5
14-Sep-06;F;1
14-Sep-06;M;7
15-Sep-06;M;3
16-Sep-06;M;11
17-Sep-06;M;14
18-Sep-06;M;5
19-Sep-06;M;7
20-Sep-06;F;2
20-Sep-06;M;3
21-Sep-06;M;6
22-Sep-06;M;6
23-Sep-06;M;6
24-Sep-06;F;1
24-Sep-06;M;7
25-Sep-06;M;4
26-Sep-06;M;7
27-Sep-06;M;3
28-Sep-06;M;3
29-Sep-06;M;5
30-Sep-06;M;9
01-Oct-06;M;13
02-Oct-06;M;5
03-Oct-06;M;6
04-Oct-06;M;9
05-Oct-06;M;2
06-Oct-06;M;7
07-Oct-06;M;6
08-Oct-06;M;6
09-Oct-06;F;13
09-Oct-06;M;6
10-Oct-06;M;4
11-Oct-06;F;1
11-Oct-06;M;1
12-Oct-06;M;6
13-Oct-06;M;4
14-Oct-06;F;2
14-Oct-06;M;6
15-Oct-06;M;7
16-Oct-06;M;7
17-Oct-06;M;1
18-Oct-06;M;4
19-Oct-06;M;7
20-Oct-06;F;1
20-Oct-06;M;7
21-Oct-06;M;2
22-Oct-06;M;9
23-Oct-06;F;5
23-Oct-06;M;3
25-Oct-06;M;5
26-Oct-06;M;3
27-Oct-06;M;6
28-Oct-06;F;1
28-Oct-06;M;3
29-Oct-06;F;2
29-Oct-06;M;9
30-Oct-06;F;1
30-Oct-06;M;5
31-Oct-06;M;14
01-Nov-06;M;3
02-Nov-06;M;5
03-Nov-06;M;2
04-Nov-06;M;1
05-Nov-06;M;3
07-Nov-06;M;2
08-Nov-06;M;3
09-Nov-06;M;5
10-Nov-06;M;1
11-Nov-06;F;1
11-Nov-06;M;8
12-Nov-06;M;8
13-Nov-06;M;3
14-Nov-06;F;1
14-Nov-06;M;1
15-Nov-06;M;15
16-Nov-06;M;4
17-Nov-06;F;1
17-Nov-06;M;3
18-Nov-06;F;2
18-Nov-06;M;8
19-Nov-06;M;7
20-Nov-06;M;5
21-Nov-06;F;1
21-Nov-06;M;2
22-Nov-06;F;2
22-Nov-06;M;8
23-Nov-06;F;1
23-Nov-06;M;10
24-Nov-06;M;2
25-Nov-06;F;2
25-Nov-06;M;18
26-Nov-06;F;2
26-Nov-06;M;10
27-Nov-06;M;4
28-Nov-06;M;2
29-Nov-06;M;3
30-Nov-06;F;1
30-Nov-06;M;7
01-Dec-06;M;4
02-Dec-06;M;6
03-Dec-06;M;7
04-Dec-06;M;7
05-Dec-06;F;2
05-Dec-06;M;12
06-Dec-06;M;3
07-Dec-06;M;5
08-Dec-06;M;1
09-Dec-06;M;2
10-Dec-06;M;10
11-Dec-06;M;4
12-Dec-06;M;3
13-Dec-06;M;3
14-Dec-06;M;1
15-Dec-06;F;1
15-Dec-06;M;5
16-Dec-06;F;1
16-Dec-06;M;4
17-Dec-06;M;5
18-Dec-06;M;3
19-Dec-06;M;5
20-Dec-06;M;3
21-Dec-06;F;1
21-Dec-06;M;6
22-Dec-06;M;10
23-Dec-06;M;10
24-Dec-06;M;7
25-Dec-06;M;6
26-Dec-06;F;4
26-Dec-06;M;7
27-Dec-06;M;4
28-Dec-06;M;5
29-Dec-06;M;4
30-Dec-06;M;7
31-Dec-06;M;10
01-Jan-07;F;1
01-Jan-07;M;17
02-Jan-07;M;4
03-Jan-07;F;2
03-Jan-07;M;5
04-Jan-07;M;3
05-Jan-07;M;5
06-Jan-07;M;1
07-Jan-07;F;2
07-Jan-07;M;3
08-Jan-07;M;2
09-Jan-07;M;3
10-Jan-07;F;1
10-Jan-07;M;1
11-Jan-07;M;3
12-Jan-07;M;4
13-Jan-07;F;1
13-Jan-07;M;5
14-Jan-07;M;2
15-Jan-07;M;3
16-Jan-07;M;2
17-Jan-07;M;1
19-Jan-07;M;3
20-Jan-07;M;6
21-Jan-07;M;2
22-Jan-07;M;1
23-Jan-07;F;1
24-Jan-07;M;3
25-Jan-07;M;1
26-Jan-07;M;2
27-Jan-07;M;5
28-Jan-07;F;1
28-Jan-07;M;4
29-Jan-07;M;6
30-Jan-07;F;1
31-Jan-07;M;2
01-Feb-07;F;1
01-Feb-07;M;2
02-Feb-07;M;3
03-Feb-07;M;4
04-Feb-07;M;1
05-Feb-07;M;3
06-Feb-07;M;1
07-Feb-07;F;1
08-Feb-07;F;1
08-Feb-07;M;3
09-Feb-07;F;1
09-Feb-07;M;3
10-Feb-07;M;8
11-Feb-07;M;6
12-Feb-07;M;1
13-Feb-07;M;1
14-Feb-07;M;1
16-Feb-07;F;1
16-Feb-07;M;1
17-Feb-07;F;1
17-Feb-07;M;3
18-Feb-07;F;1
18-Feb-07;M;2
21-Feb-07;F;1
21-Feb-07;M;2
22-Feb-07;M;2
23-Feb-07;F;1
24-Feb-07;M;2
25-Feb-07;M;3
26-Feb-07;M;2
27-Feb-07;M;5
28-Feb-07;F;2
28-Feb-07;M;8
03-Mar-07;M;4
04-Mar-07;F;1
04-Mar-07;M;4
05-Mar-07;M;2
07-Mar-07;M;3
08-Mar-07;F;1
08-Mar-07;M;2
09-Mar-07;M;2
10-Mar-07;M;3
11-Mar-07;M;2
12-Mar-07;M;3
13-Mar-07;M;3
14-Mar-07;M;5
16-Mar-07;M;2
17-Mar-07;M;4
18-Mar-07;M;2
19-Mar-07;M;6
20-Mar-07;M;1
21-Mar-07;M;3
22-Mar-07;M;8
23-Mar-07;M;9
24-Mar-07;M;3
25-Mar-07;M;2
26-Mar-07;M;2
27-Mar-07;M;3
27-Mar-07;U;1
28-Mar-07;M;3
29-Mar-07;F;3
29-Mar-07;M;8
30-Mar-07;M;1
31-Mar-07;M;7
01-Apr-07;M;5
02-Apr-07;M;4
03-Apr-07;M;3
04-Apr-07;M;5
05-Apr-07;M;3
06-Apr-07;M;2
07-Apr-07;M;7
08-Apr-07;M;3
09-Apr-07;M;2
10-Apr-07;M;1
11-Apr-07;M;2
12-Apr-07;M;1
13-Apr-07;F;1
13-Apr-07;M;2
15-Apr-07;F;1
15-Apr-07;M;6
16-Apr-07;M;1
17-Apr-07;M;3
18-Apr-07;F;1
18-Apr-07;M;4
19-Apr-07;M;5
20-Apr-07;M;3
21-Apr-07;F;2
21-Apr-07;M;7
22-Apr-07;F;1
22-Apr-07;M;9
23-Apr-07;F;1
23-Apr-07;M;10
24-Apr-07;F;1
24-Apr-07;M;5
25-Apr-07;M;1
27-Apr-07;M;5
28-Apr-07;M;5
29-Apr-07;M;1
30-Apr-07;M;4
01-May-07;M;1
02-May-07;M;3
03-May-07;M;2
04-May-07;F;1
04-May-07;M;5
05-May-07;M;10
06-May-07;F;1
06-May-07;M;3
07-May-07;M;6
08-May-07;F;1
08-May-07;M;6
09-May-07;F;1
09-May-07;M;5
10-May-07;F;1
10-May-07;M;5
11-May-07;M;2
12-May-07;F;2
12-May-07;M;4
13-May-07;M;4
14-May-07;M;9
15-May-07;M;7
16-May-07;M;5
17-May-07;M;10
18-May-07;M;8
19-May-07;F;1
19-May-07;M;3
20-May-07;M;6
21-May-07;M;3
22-May-07;M;5
23-May-07;F;1
23-May-07;M;9
24-May-07;F;1
24-May-07;M;6
25-May-07;F;1
25-May-07;M;5
26-May-07;M;13
27-May-07;F;1
27-May-07;M;7
28-May-07;M;6
29-May-07;F;1
29-May-07;M;15
30-May-07;M;9
31-May-07;M;4
01-Jun-07;M;6
02-Jun-07;F;1
02-Jun-07;M;6
03-Jun-07;M;5
04-Jun-07;M;1
05-Jun-07;M;6
06-Jun-07;F;1
06-Jun-07;M;10
07-Jun-07;F;1
07-Jun-07;M;5
08-Jun-07;M;5
09-Jun-07;F;3
09-Jun-07;M;9
10-Jun-07;M;7
11-Jun-07;M;5
12-Jun-07;M;8
13-Jun-07;M;1
14-Jun-07;F;1
15-Jun-07;M;7
16-Jun-07;M;9
17-Jun-07;M;9
18-Jun-07;M;4
19-Jun-07;M;3
20-Jun-07;M;5
21-Jun-07;M;3
22-Jun-07;M;3
23-Jun-07;F;1
23-Jun-07;M;15
23-Jun-07;U;2
24-Jun-07;M;11
25-Jun-07;F;1
25-Jun-07;M;4
26-Jun-07;M;3
27-Jun-07;M;12
28-Jun-07;M;8
29-Jun-07;F;1
29-Jun-07;M;8
30-Jun-07;F;1
30-Jun-07;M;10
01-Jul-07;F;1
01-Jul-07;M;8
02-Jul-07;M;6
03-Jul-07;M;8
04-Jul-07;M;5
05-Jul-07;M;6
06-Jul-07;F;2
06-Jul-07;M;3
07-Jul-07;F;2
07-Jul-07;M;6
08-Jul-07;F;4
08-Jul-07;M;7
09-Jul-07;M;12
10-Jul-07;M;3
11-Jul-07;F;2
11-Jul-07;M;4
12-Jul-07;M;4
13-Jul-07;M;6
14-Jul-07;M;6
15-Jul-07;M;2
16-Jul-07;M;7
17-Jul-07;F;1
17-Jul-07;M;10
18-Jul-07;F;3
18-Jul-07;M;5
19-Jul-07;M;4
20-Jul-07;M;9
21-Jul-07;F;2
21-Jul-07;M;6
22-Jul-07;F;2
22-Jul-07;M;15
23-Jul-07;F;1
23-Jul-07;M;2
24-Jul-07;M;4
25-Jul-07;F;2
25-Jul-07;M;6
26-Jul-07;M;6
27-Jul-07;F;3
27-Jul-07;M;5
28-Jul-07;M;10
29-Jul-07;F;1
29-Jul-07;M;10
30-Jul-07;F;8
30-Jul-07;M;7
31-Jul-07;M;13
01-Aug-07;M;8
02-Aug-07;F;1
02-Aug-07;M;2
03-Aug-07;M;6
04-Aug-07;F;1
04-Aug-07;M;8
05-Aug-07;F;1
05-Aug-07;M;9
06-Aug-07;M;3
07-Aug-07;M;8
08-Aug-07;M;6
09-Aug-07;M;4
10-Aug-07;F;1
10-Aug-07;M;5
11-Aug-07;F;5
11-Aug-07;M;21
12-Aug-07;F;2
12-Aug-07;M;15
13-Aug-07;M;1
14-Aug-07;M;4
16-Aug-07;M;7
17-Aug-07;M;5
18-Aug-07;F;1
18-Aug-07;M;4
19-Aug-07;M;8
20-Aug-07;M;4
21-Aug-07;M;1
22-Aug-07;F;1
22-Aug-07;M;6
23-Aug-07;M;5
24-Aug-07;F;1
24-Aug-07;M;7
25-Aug-07;M;10
26-Aug-07;F;2
26-Aug-07;M;11
27-Aug-07;F;1
27-Aug-07;M;5
28-Aug-07;M;3
29-Aug-07;F;1
29-Aug-07;M;3
30-Aug-07;F;2
30-Aug-07;M;10
31-Aug-07;M;3
01-Sep-07;F;2
01-Sep-07;M;7
02-Sep-07;F;2
02-Sep-07;M;9
03-Sep-07;M;11
04-Sep-07;M;3
05-Sep-07;M;2
06-Sep-07;M;2
07-Sep-07;F;1
08-Sep-07;F;2
08-Sep-07;M;3
09-Sep-07;M;19
10-Sep-07;M;8
11-Sep-07;M;4
12-Sep-07;M;5
13-Sep-07;M;8
14-Sep-07;M;8
15-Sep-07;F;3
15-Sep-07;M;6
16-Sep-07;M;4
17-Sep-07;M;1
18-Sep-07;M;3
19-Sep-07;M;4
20-Sep-07;M;2
21-Sep-07;F;2
21-Sep-07;M;3
22-Sep-07;M;8
23-Sep-07;M;6
24-Sep-07;F;2
24-Sep-07;M;3
25-Sep-07;F;1
25-Sep-07;M;8
